segment_id,osm_way_id,road_name,highway_type,lanes,maxspeed_kmh,oneway,surface,lit,node_from_osm_id,lat_from,lon_from,node_to_osm_id,lat_to,lon_to,lat_center,lon_center,length_m,bearing_deg,has_signal_from,signal_from_osm_id,has_signal_to,signal_to_osm_id,is_way_entry,is_way_exit,segment_index_in_way,total_segments_in_way
75,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5740709713,6.4420427,3.4011644,5740709712,6.4421426,3.4010048,6.44209265,3.4010846,20.84,302.2,0,,0,,0,0,2,16
76,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5740709712,6.4421426,3.4010048,5740709714,6.4422586,3.4008613,6.4422006,3.40093305,20.44,309.1,0,,0,,0,0,3,16
77,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5740709714,6.4422586,3.4008613,5740709715,6.4425078,3.4006011,6.4423832,3.4007312,39.93,313.9,0,,0,,0,0,4,16
78,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5740709715,6.4425078,3.4006011,1472172475,6.442847,3.4002836,6.4426774,3.4004423499999996,51.51,317.1,0,,0,,0,0,5,16
79,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472172475,6.442847,3.4002836,2245287653,6.4430451,3.400077,6.44294605,3.4001802999999997,31.72,314.0,0,,0,,0,0,6,16
80,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287653,6.4430451,3.400077,2245287657,6.4432203,3.3998836,6.4431327,3.3999803,28.92,312.4,0,,0,,0,0,7,16
81,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287657,6.4432203,3.3998836,1472172478,6.4433829,3.3996841,6.4433016,3.39978385,28.51,309.4,0,,0,,0,0,8,16
82,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472172478,6.4433829,3.3996841,1472203773,6.4434999,3.3995179,6.443441399999999,3.399601,22.51,305.3,0,,0,,0,0,9,16
83,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472203773,6.4434999,3.3995179,2245287655,6.4436014,3.3993481,6.443550650000001,3.399433,21.89,301.0,0,,0,,0,0,10,16
84,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287655,6.4436014,3.3993481,2245287718,6.4437371,3.399127,6.44366925,3.39923755,28.71,301.7,0,,0,,0,0,11,16
85,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287718,6.4437371,3.399127,13036536534,6.4439374,3.398817,6.44383725,3.398972,40.86,303.0,0,,0,,0,0,12,16
86,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,13036536534,6.4439374,3.398817,1090910189,6.4439497,3.398798,6.44394355,3.3988075,2.51,303.1,0,,0,,0,0,13,16
87,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910189,6.4439497,3.398798,5392876277,6.4441496,3.3984956,6.44404965,3.3986468,40.13,303.6,0,,0,,0,0,14,16
88,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5392876277,6.4441496,3.3984956,1029527211,6.4442735,3.3982565,6.44421155,3.39837605,29.8,297.5,0,,0,,0,1,15,16
89,93858659,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910214,6.4411018,3.4023887,1090910116,6.440111,3.4040321,6.4406064,3.4032104,212.39,121.2,0,,0,,1,1,0,1
90,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910134,6.4412747,3.4026058,2245287720,6.4414662,3.4022929,6.44137045,3.40244935,40.6,301.6,0,,0,,1,0,0,10
91,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287720,6.4414662,3.4022929,2245287731,6.4415982,3.4020608,6.441532199999999,3.40217685,29.55,299.8,0,,0,,0,0,1,10
92,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287731,6.4415982,3.4020608,31701839,6.4416481,3.4019643,6.44162315,3.4020125500000002,12.02,297.5,0,,0,,0,0,2,10
93,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,31701839,6.4416481,3.4019643,1472172487,6.4416661,3.4019298,6.4416571000000005,3.40194705,4.31,297.7,0,,0,,0,0,3,10
94,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472172487,6.4416661,3.4019298,2245287714,6.4416975,3.4018725,6.4416818,3.40190115,7.23,298.9,0,,0,,0,0,4,10
95,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287714,6.4416975,3.4018725,1090910160,6.4417228,3.4018175,6.4417101500000005,3.401845,6.7,294.8,0,,0,,0,0,5,10
96,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910160,6.4417228,3.4018175,2245287638,6.4417522,3.4017508,6.4417375,3.40178415,8.06,293.9,0,,0,,0,0,6,10
97,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287638,6.4417522,3.4017508,2245287646,6.4417738,3.4017025,6.441763,3.4017266499999996,5.85,294.2,0,,0,,0,0,7,10
98,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287646,6.4417738,3.4017025,1472172494,6.4418108,3.4016258,6.4417922999999995,3.40166415,9.42,295.9,0,,0,,0,0,8,10
99,93858661,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472172494,6.4418108,3.4016258,1090910120,6.4418215,3.4016016,6.441816149999999,3.4016137,2.93,294.0,0,,0,,0,1,9,10
100,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472172473,6.4435004,3.399004,2245287684,6.4433781,3.399136,6.44343925,3.39907,19.94,133.0,0,,0,,1,0,0,13
101,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287684,6.4433781,3.399136,2245287734,6.4432963,3.3992323,6.4433372,3.39918415,14.0,130.5,0,,0,,0,0,1,13
102,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287734,6.4432963,3.3992323,2245287649,6.443082,3.3995091,6.44318915,3.3993707,38.77,127.9,0,,0,,0,0,2,13
103,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287649,6.443082,3.3995091,2245287631,6.4429322,3.3996807,6.443007100000001,3.3995949000000003,25.24,131.3,0,,0,,0,0,3,13
104,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287631,6.4429322,3.3996807,1090910148,6.4427527,3.3998622,6.4428424500000006,3.3997714500000003,28.29,134.9,0,,0,,0,0,4,13
105,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910148,6.4427527,3.3998622,35722423,6.4425212,3.4000894,6.44263695,3.3999758,35.96,135.7,0,,0,,0,0,5,13
106,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,35722423,6.4425212,3.4000894,1472172463,6.4422967,3.4002988,6.44240895,3.4001941,34.04,137.2,0,,0,,0,0,6,13
107,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472172463,6.4422967,3.4002988,31674780,6.4421234,3.4004791,6.44221005,3.40038895,27.72,134.0,0,,0,,0,0,7,13
108,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,31674780,6.4421234,3.4004791,2245287614,6.4419507,3.400678,6.44203705,3.40057855,29.18,131.1,0,,0,,0,0,8,13
109,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287614,6.4419507,3.400678,2245287727,6.4418086,3.4008582,6.44187965,3.4007681,25.42,128.4,0,,0,,0,0,9,13
110,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287727,6.4418086,3.4008582,1472172476,6.4416896,3.4010521,6.4417491,3.4009551499999997,25.18,121.7,0,,0,,0,0,10,13
111,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1472172476,6.4416896,3.4010521,2245287712,6.4415864,3.4012583,6.441638,3.4011552,25.51,116.7,0,,0,,0,0,11,13
112,133755470,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,2245287712,6.4415864,3.4012583,1472172469,6.4414862,3.4014842,6.4415363,3.40137125,27.33,114.1,0,,0,,0,1,12,13
113,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,31674744,6.4346389,3.4086674,31674751,6.434284,3.4087256,6.434461450000001,3.4086965,39.98,170.7,0,,0,,1,0,0,62
114,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,31674751,6.434284,3.4087256,31674726,6.4338056,3.4087752,6.434044800000001,3.4087503999999997,53.48,174.1,0,,0,,0,0,1,62
115,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,31674726,6.4338056,3.4087752,1480437275,6.4332992,3.4087986,6.4335524,3.4087869,56.37,177.4,0,,0,,0,0,2,62
116,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,1480437275,6.4332992,3.4087986,31674721,6.4322024,3.4088127,6.432750800000001,3.4088056499999997,121.97,179.3,0,,0,,0,0,3,62
117,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,31674721,6.4322024,3.4088127,7739228541,6.4318458,3.4088083,6.4320241,3.4088105,39.66,180.7,0,,0,,0,0,4,62
118,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,7739228541,6.4318458,3.4088083,7739228544,6.4314999,3.408804,6.43167285,3.40880615,38.47,180.7,0,,0,,0,0,5,62
119,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,7739228544,6.4314999,3.408804,1480437301,6.4311256,3.4087993,6.43131275,3.40880165,41.62,180.7,0,,0,,0,0,6,62
120,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,1480437301,6.4311256,3.4087993,1480437237,6.4310476,3.4087993,6.4310866,3.4087993,8.67,180.0,0,,0,,0,0,7,62
121,133790489,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,1480437237,6.4310476,3.4087993,5622523776,6.430015,3.4087987,6.4305313,3.408799,114.82,180.0,0,,1,1480437222,0,0,8,62
