node_osm_id,lat,lon,has_signal,signal_osm_id
1472131511,6.437746,3.4246419,0,
5396714428,6.437314,3.4243635,0,
5396714429,6.4373718,3.4244785,0,
5396714431,6.4363338,3.4240649,0,
5396714432,6.4361914,3.4241238,0,
5396714433,6.4364416,3.4241844,0,
5396714434,6.4355967,3.4239364,0,
5396714435,6.4352119,3.4239897,0,
5396714436,6.434949,3.4239739,0,
5396714437,6.4349717,3.4238827,0,
5582802504,6.4333738,3.4238948,0,
