node_id,node_osm_id,lon,lat,road_name,is_signal,point_type
34,35723967,3.412309,6.4305912,Adeola Odeku Street,0,intersection
35,5582731541,3.4121574,6.4305545,Adeola Odeku Street,0,intersection
36,1598718046,3.4120099,6.4305106,Adeola Odeku Street,0,intersection
37,35723968,3.4115727,6.4303526,Adeola Odeku Street,0,intersection
38,5582731542,3.4112488,6.4302332,Adeola Odeku Street,0,intersection
39,5246332226,3.4109967,6.4301521,Adeola Odeku Street,0,intersection
40,35723970,3.4107575,6.4300919,Adeola Odeku Street,0,intersection
41,5582731543,3.4104892,6.4300449,Adeola Odeku Street,0,intersection
42,1480437267,3.410257,6.4300216,Adeola Odeku Street,0,intersection
43,7736149344,3.4102413,6.4300209,Adeola Odeku Street,0,intersection
44,35723971,3.4100318,6.4300122,Adeola Odeku Street,0,intersection
45,1480437288,3.4097523,6.4300104,Adeola Odeku Street,0,intersection
46,7116217627,3.4093585,6.4300095,Adeola Odeku Street,0,intersection
47,1480437222,3.4089,6.4300156,Adeola Odeku Street,1,intersection
48,36240967,3.4239759,6.4270816,Saka Tinubu Street,1,entry
49,95636908,3.4238935,6.4270814,Saka Tinubu Street,1,intersection
50,10836366411,3.4231558,6.4270795,Saka Tinubu Street,0,intersection
51,9882740712,3.4225631,6.427078,Saka Tinubu Street,0,intersection
52,36240962,3.4221782,6.427077,Saka Tinubu Street,0,intersection
53,1235946208,3.4213218,6.4270748,Saka Tinubu Street,0,intersection
54,10181976499,3.4208378,6.4270735,Saka Tinubu Street,0,intersection
55,5673268464,3.4199417,6.4270712,Saka Tinubu Street,0,intersection
56,1235946200,3.4192519,6.4270694,Saka Tinubu Street,0,intersection
57,1598717989,3.4186524,6.4270679,Saka Tinubu Street,0,intersection
58,4742766612,3.4172952,6.4270644,Saka Tinubu Street,0,intersection
59,31674712,3.4240005,6.4226451,Akin Adesola Street,1,entry
60,168577454,3.4239971,6.4227308,Akin Adesola Street,1,entry
61,5582802497,3.4239914,6.4235933,Akin Adesola Street,0,intersection
62,36240966,3.42399,6.4240904,Akin Adesola Street,0,intersection
63,1472121865,3.4245364,6.4377083,Akin Adesola Street,0,entry
64,5396714428,3.4243635,6.437314,Akin Adesola Street,0,intersection
65,1472121874,3.4242831,6.437082,Akin Adesola Street,0,intersection
66,168585503,3.4273873,6.4226948,Ahmadu Bello Way,0,entry
67,5396711911,3.4273642,6.4226862,Ahmadu Bello Way,0,intersection
68,168583238,3.4273318,6.4226822,Ahmadu Bello Way,0,intersection
69,168586633,3.4273032,6.4226801,Ahmadu Bello Way,0,intersection
70,1289576526,3.425889,6.4227217,Ahmadu Bello Way,0,intersection
71,4707949578,3.4249505,6.4227478,Ahmadu Bello Way,0,intersection
72,5588108883,3.4244943,6.4227404,Ahmadu Bello Way,0,intersection
73,1090910163,3.4041342,6.4402163,Ahmadu Bello Way,0,entry
74,1090910120,3.4016016,6.4418215,Ahmadu Bello Way,0,entry
75,5740709711,3.4013522,6.4419401,Ahmadu Bello Way,0,intersection
76,5740709713,3.4011644,6.4420427,Ahmadu Bello Way,0,intersection
77,5740709712,3.4010048,6.4421426,Ahmadu Bello Way,0,intersection
78,5740709714,3.4008613,6.4422586,Ahmadu Bello Way,0,intersection
79,5740709715,3.4006011,6.4425078,Ahmadu Bello Way,0,intersection
80,1472172475,3.4002836,6.442847,Ahmadu Bello Way,0,intersection
81,2245287653,3.400077,6.4430451,Ahmadu Bello Way,0,intersection
82,2245287657,3.3998836,6.4432203,Ahmadu Bello Way,0,intersection
83,1472172478,3.3996841,6.4433829,Ahmadu Bello Way,0,intersection
84,1472203773,3.3995179,6.4434999,Ahmadu Bello Way,0,intersection
85,2245287655,3.3993481,6.4436014,Ahmadu Bello Way,0,intersection
86,2245287718,3.399127,6.4437371,Ahmadu Bello Way,0,intersection
87,13036536534,3.398817,6.4439374,Ahmadu Bello Way,0,intersection
88,1090910189,3.398798,6.4439497,Ahmadu Bello Way,0,intersection
89,5392876277,3.3984956,6.4441496,Ahmadu Bello Way,0,intersection
90,1090910214,3.4023887,6.4411018,Ahmadu Bello Way,0,entry
91,1090910134,3.4026058,6.4412747,Ahmadu Bello Way,0,entry
92,2245287720,3.4022929,6.4414662,Ahmadu Bello Way,0,intersection
93,2245287731,3.4020608,6.4415982,Ahmadu Bello Way,0,intersection
94,31701839,3.4019643,6.4416481,Ahmadu Bello Way,0,intersection
95,1472172487,3.4019298,6.4416661,Ahmadu Bello Way,0,intersection
96,2245287714,3.4018725,6.4416975,Ahmadu Bello Way,0,intersection
97,1090910160,3.4018175,6.4417228,Ahmadu Bello Way,0,intersection
