segment_id,road_name,highway_type,lon_from,lat_from,lon_to,lat_to,lon_center,lat_center,length_m,bearing_deg,lanes,maxspeed_kmh,oneway,has_signal_from,has_signal_to,is_way_entry,is_way_exit,road_importance
17,Adeola Odeku Street,secondary,3.4186926,6.4302193,3.4179242,6.4304253,3.4183084,6.4303223,87.94,285.1,2,50,yes,0,0,0,0,3
18,Adeola Odeku Street,secondary,3.4179242,6.4304253,3.417611,6.4304999,3.4177676,6.4304626,35.59,283.5,2,50,yes,0,0,0,0,3
19,Adeola Odeku Street,secondary,3.417611,6.4304999,3.4173837,6.4305459,3.41749735,6.4305229,25.63,281.5,2,50,yes,0,0,0,0,3
20,Adeola Odeku Street,secondary,3.4173837,6.4305459,3.417155,6.4305824,3.41726935,6.43056415,25.59,279.1,2,50,yes,0,0,0,0,3
21,Adeola Odeku Street,secondary,3.417155,6.4305824,3.4171028,6.4305906,3.4171289,6.4305865,5.84,279.0,2,50,yes,0,0,0,0,3
22,Adeola Odeku Street,secondary,3.4171028,6.4305906,3.4166764,6.4306481,3.4168896,6.430619350000001,47.55,277.7,2,50,yes,0,0,0,0,3
23,Adeola Odeku Street,secondary,3.4166764,6.4306481,3.4164825,6.4306639,3.41657945,6.430656,21.5,274.7,2,50,yes,0,0,0,0,3
24,Adeola Odeku Street,secondary,3.4164825,6.4306639,3.4161489,6.430682,3.4163157,6.43067295,36.92,273.1,2,50,yes,0,0,0,0,3
25,Adeola Odeku Street,secondary,3.4161489,6.430682,3.4158276,6.4306901,3.41598825,6.43068605,35.51,271.5,2,50,yes,0,0,0,0,3
26,Adeola Odeku Street,secondary,3.4158276,6.4306901,3.4151957,6.4306911,3.41551165,6.4306906,69.82,270.1,2,50,yes,0,0,0,0,3
27,Adeola Odeku Street,secondary,3.4151957,6.4306911,3.4141704,6.4306905,3.41468305,6.4306908,113.29,270.0,2,50,yes,0,0,0,0,3
28,Adeola Odeku Street,secondary,3.4141704,6.4306905,3.4137855,6.4306911,3.41397795,6.4306908,42.53,270.1,2,50,yes,0,0,0,0,3
29,Adeola Odeku Street,secondary,3.4137855,6.4306911,3.4133088,6.4306918,3.41354715,6.430691449999999,52.67,270.1,2,50,yes,0,0,0,0,3
30,Adeola Odeku Street,secondary,3.4133088,6.4306918,3.412767,6.4306652,3.4130379,6.4306785,59.94,267.2,2,50,yes,0,0,0,0,3
31,Adeola Odeku Street,secondary,3.412767,6.4306652,3.4125423,6.4306312,3.4126546500000003,6.4306482,25.11,261.3,2,50,yes,0,0,0,0,3
32,Adeola Odeku Street,secondary,3.4125423,6.4306312,3.412309,6.4305912,3.4124256500000003,6.4306112,26.16,260.2,2,50,yes,0,0,0,0,3
33,Adeola Odeku Street,secondary,3.412309,6.4305912,3.4121574,6.4305545,3.4122332,6.430572850000001,17.24,256.3,2,50,yes,0,0,0,0,3
