u,v,name_clean,highway,length,oneway,lanes_manual,Rx_manual,maxspeed_manual_kmh,has_signal_end,u_lat,u_lon,v_lat,v_lon
2782982218,2782982219,Avenue du Renouveau,secondary,40.02,False,2,,50,0,6.3871808,2.3849914,6.3874551,2.3852258
2782982219,2552327987,Avenue du Renouveau,secondary,66.16,False,2,,50,0,6.3874551,2.3852258,6.3879098,2.385612
2552327987,2505169989,Avenue du Renouveau,secondary,21.29,False,2,,50,0,6.3879098,2.385612,6.3880546,2.3857381
2505169989,2782966110,Avenue du Renouveau,secondary,25.22,False,2,,50,0,6.3880546,2.3857381,6.3882279,2.3858853
2782966110,2771945950,Avenue du Renouveau,secondary,65.71,False,2,,50,0,6.3882279,2.3858853,6.3886702,2.3862797
2771945950,2771945954,Avenue du Renouveau,secondary,58.71,False,2,,50,0,6.3886702,2.3862797,6.3890743,2.3866216
2771945954,2505169992,Avenue du Renouveau,secondary,22.5,False,2,,50,0,6.3890743,2.3866216,6.3892295,2.3867523
2505169992,5891055313,Avenue du Renouveau,secondary,43.52,False,2,,50,0,6.3892295,2.3867523,6.3895154,2.3870212
5891055313,2782966113,Avenue du Renouveau,secondary,69.51,False,2,,50,0,6.3895154,2.3870212,6.3899446,2.3874785
2782966113,2483237652,Avenue du Renouveau,secondary,20.04,False,2,,50,0,6.3899446,2.3874785,6.3900565,2.3876207
2483237652,5861237204,Avenue du Renouveau,secondary,16.72,False,2,,50,0,6.3900565,2.3876207,6.3901445,2.3877434
5861237204,5861237203,Avenue du Renouveau,secondary,17.85,False,2,,50,0,6.3901445,2.3877434,6.3902351,2.3878768
5861237203,2782921028,Avenue du Renouveau,secondary,17.35,False,2,,50,0,6.3902351,2.3878768,6.3903189,2.3880092
2782921028,2782921030,Avenue du Renouveau,secondary,53.28,False,2,,50,0,6.3903189,2.3880092,6.3905354,2.3884393
2782921030,2505169999,Avenue du Renouveau,secondary,10.17,False,2,,50,0,6.3905354,2.3884393,6.3905697,2.3885246
2505169999,2505170001,Avenue du Renouveau,secondary,68.57,False,2,,50,0,6.3905697,2.3885246,6.3908268,2.3890886
2505170001,2483237662,Avenue du Renouveau,secondary,28.3,False,2,,50,0,6.3908268,2.3890886,6.3909065,2.3893318
2483237662,7769991280,Avenue du Renouveau,secondary,16.99,False,2,,50,0,6.3909065,2.3893318,6.3909442,2.3894808
7769991280,2505170009,Avenue du Renouveau,secondary,16.14,False,2,,50,0,6.3909442,2.3894808,6.3909632,2.3896256
2505170009,5953770147,Avenue du Renouveau,secondary,15.77,False,2,,50,0,6.3909632,2.3896256,6.3909748,2.3897678
5953770147,2505170010,Avenue du Renouveau,secondary,19.19,False,2,,50,0,6.3909748,2.3897678,6.3909793,2.3899414
2505170010,2483237664,Avenue du Renouveau,secondary,95.51,False,2,,50,0,6.3909793,2.3899414,6.3909291,2.3908042
2483237664,2782950719,Avenue du Renouveau,secondary,35.67,False,2,,50,0,6.3909291,2.3908042,6.3909336,2.391127
2782950719,2771966891,Avenue du Renouveau,secondary,129.96,False,2,,50,0,6.3909336,2.391127,6.3908859,2.3923021
2771966891,2782950718,Avenue du Renouveau,secondary,108.19,False,2,,50,0,6.3908859,2.3923021,6.3908575,2.3932807
2782950718,2782921033,Avenue du Renouveau,secondary,99.06,False,2,,50,0,6.3908575,2.3932807,6.3908466,2.3941771
2782921033,2483237661,Avenue du Renouveau,secondary,34.65,False,2,,50,0,6.3908466,2.3941771,6.3908401,2.3944906
1531017619,2423479967,Avenue du Renouveau,secondary,35.96,False,2,,50,0,6.3860148,2.3840747,6.3857929,2.383838
2499506995,5953770142,Avenue du Renouveau,secondary,11.2,True,1,,50,0,6.3897202,2.4017573,6.3898,2.4016955
5953770142,2505169995,Avenue du Renouveau,secondary,11.07,True,1,,50,0,6.3898,2.4016955,6.3898681,2.4016224
2505169995,2505169996,Avenue du Renouveau,secondary,10.45,True,1,,50,0,6.3898681,2.4016224,6.3899151,2.4015405
2505169996,5953770141,Avenue du Renouveau,secondary,45.51,True,1,,50,0,6.3899151,2.4015405,6.3901092,2.4011779
5953770141,2771966869,Avenue du Renouveau,secondary,14.14,True,1,,50,0,6.3901092,2.4011779,6.3901634,2.4010621
2771966869,2505169998,Avenue du Renouveau,secondary,22.08,True,1,,50,0,6.3901634,2.4010621,6.3902302,2.4008739
1569336272,2772106486,Rue 150,secondary,125.02,True,2,,50,0,6.3753796,2.4050422,6.3760788,2.4059282
2772106486,2772118161,Rue 150,secondary,227.11,True,2,,50,0,6.3760788,2.4059282,6.377341,2.4075439
2772118161,5892666648,Rue 150,secondary,189.22,True,2,,50,0,6.377341,2.4075439,6.3784123,2.4088743
5892666648,2770108419,Rue 150,secondary,177.36,True,2,,50,0,6.3784123,2.4088743,6.3793935,2.4101397
2770108419,2772189293,Rue 150,secondary,169.97,True,2,,50,0,6.3793935,2.4101397,6.3803224,2.4113612
2772189293,2772189304,Rue 150,secondary,313.68,True,2,,50,0,6.3803224,2.4113612,6.3820791,2.4135822
2772189304,2772189306,Rue 150,secondary,190.49,True,2,,50,0,6.3820791,2.4135822,6.3831788,2.4149039
2772189306,5887788712,Rue 150,secondary,154.12,True,2,,50,0,6.3831788,2.4149039,6.3840484,2.4159899
2505169998,5836492953,Avenue du Renouveau,secondary,17.53,False,2,,50,0,6.3902302,2.4008739,6.390311,2.4007377
5836492953,5953770145,Avenue du Renouveau,secondary,33.87,False,2,,50,0,6.390311,2.4007377,6.3904377,2.400459
5953770145,2771966880,Avenue du Renouveau,secondary,23.78,False,2,,50,0,6.3904377,2.400459,6.3905275,2.4002637
2771966880,2505170000,Avenue du Renouveau,secondary,27.0,False,2,,50,0,6.3905275,2.4002637,6.3906201,2.4000378
2505170000,5836476577,Avenue du Renouveau,secondary,13.82,False,2,,50,0,6.3906201,2.4000378,6.3906509,2.3999166
5836476577,2505170002,Avenue du Renouveau,secondary,13.58,False,2,,50,0,6.3906509,2.3999166,6.3906664,2.3997947
2505170002,2505170004,Avenue du Renouveau,secondary,57.87,False,2,,50,0,6.3906664,2.3997947,6.3907013,2.3992722
2505170004,2782911400,Avenue du Renouveau,secondary,30.53,False,2,,50,0,6.3907013,2.3992722,6.3907108,2.3989961
2782911400,2771966884,Avenue du Renouveau,secondary,10.99,False,2,,50,0,6.3907108,2.3989961,6.3907071,2.3988967
2771966884,2782911401,Avenue du Renouveau,secondary,91.47,False,2,,50,0,6.3907071,2.3988967,6.3907256,2.3980692
