segment_id,osm_way_id,road_name,highway_type,lanes,maxspeed_kmh,surface,oneway,u_osm_id,u_lat,u_lon,v_osm_id,v_lat,v_lon,length_m,bearing_deg,center_lat,center_lon,has_signal_start,has_signal_end,segment_index,way_total_segments,geometry_wkt
63,31760372,Unknown,trunk,2,50,asphalt,yes,2770084320,6.3726553,2.4082914,2770084317,6.372261,2.4087542,67.36,130.6,6.37245815,2.4085228,0,0,31,38,"LINESTRING(2.4082914 6.3726553, 2.4087542 6.372261)"
64,31760372,Unknown,trunk,2,50,asphalt,yes,2770084317,6.372261,2.4087542,5074451600,6.3720455,2.409015,37.48,129.7,6.37215325,2.4088846000000004,0,0,32,38,"LINESTRING(2.4087542 6.372261, 2.409015 6.3720455)"
65,31820850,Rue 12.191,primary,2,50,asphalt,yes,355518354,6.3671107,2.3945197,355518371,6.3669557,2.3945629,17.88,164.5,6.3670332,2.3945413,0,0,0,24,"LINESTRING(2.3945197 6.3671107, 2.3945629 6.3669557)"
66,31820850,Rue 12.191,primary,2,50,asphalt,yes,355518371,6.3669557,2.3945629,5953981503,6.3668104,2.3946105,16.99,162.0,6.36688305,2.3945867,0,0,1,24,"LINESTRING(2.3945629 6.3669557, 2.3946105 6.3668104)"
67,31820850,Rue 12.191,primary,2,50,asphalt,yes,5953981503,6.3668104,2.3946105,355518319,6.3666258,2.3946822,22.0,158.9,6.3667181,2.3946463500000004,0,0,2,24,"LINESTRING(2.3946105 6.3668104, 2.3946822 6.3666258)"
68,31820850,Rue 12.191,primary,2,50,asphalt,yes,355518319,6.3666258,2.3946822,5953981501,6.3664806,2.3947392,17.33,158.7,6.3665532,2.3947107,0,0,3,24,"LINESTRING(2.3946822 6.3666258, 2.3947392 6.3664806)"
69,31820850,Rue 12.191,primary,2,50,asphalt,yes,5953981501,6.3664806,2.3947392,355518336,6.3662806,2.3948244,24.15,157.1,6.366380599999999,2.3947818,0,0,4,24,"LINESTRING(2.3947392 6.3664806, 2.3948244 6.3662806)"
70,31820850,Rue 12.191,primary,2,50,asphalt,yes,355518336,6.3662806,2.3948244,5888395770,6.3660354,2.3949478,30.49,153.4,6.366158,2.3948861,0,0,5,24,"LINESTRING(2.3948244 6.3662806, 2.3949478 6.3660354)"
71,31820850,Rue 12.191,primary,2,50,asphalt,yes,5888395770,6.3660354,2.3949478,2488584764,6.3656755,2.3951563,46.18,150.1,6.36585545,2.3950520500000003,0,0,6,24,"LINESTRING(2.3949478 6.3660354, 2.3951563 6.3656755)"
72,31820850,Rue 12.191,primary,2,50,asphalt,yes,2488584764,6.3656755,2.3951563,355518137,6.3653829,2.3953025,36.33,153.6,6.3655292,2.3952294,0,0,7,24,"LINESTRING(2.3951563 6.3656755, 2.3953025 6.3653829)"
73,31820850,Rue 12.191,primary,2,50,asphalt,yes,355518137,6.3653829,2.3953025,2790486756,6.3624274,2.3969963,378.2,150.3,6.36390515,2.3961494,0,0,8,24,"LINESTRING(2.3953025 6.3653829, 2.3969963 6.3624274)"
74,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790486756,6.3624274,2.3969963,355519970,6.361867,2.3973444,73.23,148.3,6.3621472,2.39717035,0,0,9,24,"LINESTRING(2.3969963 6.3624274, 2.3973444 6.361867)"
75,31820850,Rue 12.191,primary,2,50,asphalt,yes,355519970,6.361867,2.3973444,355520496,6.361717,2.3974362,19.52,148.7,6.3617919999999994,2.3973903,0,0,10,24,"LINESTRING(2.3973444 6.361867, 2.3974362 6.361717)"
76,31820850,Rue 12.191,primary,2,50,asphalt,yes,355520496,6.361717,2.3974362,2790501468,6.3614331,2.3975999,36.38,150.2,6.36157505,2.39751805,0,0,11,24,"LINESTRING(2.3974362 6.361717, 2.3975999 6.3614331)"
77,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790501468,6.3614331,2.3975999,2790501465,6.3609893,2.3978546,56.81,150.3,6.3612112,2.39772725,0,0,12,24,"LINESTRING(2.3975999 6.3614331, 2.3978546 6.3609893)"
78,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790501465,6.3609893,2.3978546,5953981500,6.3606147,2.398104,49.95,146.5,6.360802,2.3979793000000003,0,0,13,24,"LINESTRING(2.3978546 6.3609893, 2.398104 6.3606147)"
79,31820850,Rue 12.191,primary,2,50,asphalt,yes,5953981500,6.3606147,2.398104,5888395768,6.3604808,2.3981698,16.57,154.0,6.36054775,2.3981369,0,0,14,24,"LINESTRING(2.398104 6.3606147, 2.3981698 6.3604808)"
80,31820850,Rue 12.191,primary,2,50,asphalt,yes,5888395768,6.3604808,2.3981698,355517824,6.3602136,2.3982986,32.94,154.4,6.3603472,2.3982342,0,0,15,24,"LINESTRING(2.3981698 6.3604808, 2.3982986 6.3602136)"
81,31820850,Rue 12.191,primary,2,50,asphalt,yes,355517824,6.3602136,2.3982986,2790486736,6.3599357,2.3984212,33.74,156.3,6.36007465,2.3983599,0,0,16,24,"LINESTRING(2.3982986 6.3602136, 2.3984212 6.3599357)"
82,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790486736,6.3599357,2.3984212,2790486731,6.3594673,2.3985788,54.92,161.5,6.3597015,2.3985000000000003,0,0,17,24,"LINESTRING(2.3984212 6.3599357, 2.3985788 6.3594673)"
83,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790486731,6.3594673,2.3985788,2790486720,6.3590178,2.3987245,52.51,162.1,6.35924255,2.39865165,0,0,18,24,"LINESTRING(2.3985788 6.3594673, 2.3987245 6.3590178)"
84,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790486720,6.3590178,2.3987245,2790486703,6.3585422,2.3988494,54.66,165.4,6.358779999999999,2.39878695,0,0,19,24,"LINESTRING(2.3987245 6.3590178, 2.3988494 6.3585422)"
85,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790486703,6.3585422,2.3988494,2790486687,6.3580541,2.3989826,56.23,164.8,6.3582981499999995,2.398916,0,0,20,24,"LINESTRING(2.3988494 6.3585422, 2.3989826 6.3580541)"
86,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790486687,6.3580541,2.3989826,2790501415,6.3575367,2.3991016,59.02,167.1,6.3577954000000005,2.3990421,0,0,21,24,"LINESTRING(2.3989826 6.3580541, 2.3991016 6.3575367)"
87,31820850,Rue 12.191,primary,2,50,asphalt,yes,2790501415,6.3575367,2.3991016,7702197528,6.357025,2.3991912,57.75,170.1,6.35728085,2.3991464000000002,0,0,22,24,"LINESTRING(2.3991016 6.3575367, 2.3991912 6.357025)"
88,31820850,Rue 12.191,primary,2,50,asphalt,yes,7702197528,6.357025,2.3991912,355514811,6.3566946,2.3992533,37.37,169.4,6.3568598000000005,2.3992222500000002,0,0,23,24,"LINESTRING(2.3991912 6.357025, 2.3992533 6.3566946)"
89,31820852,Rue 12.191,primary,2,50,asphalt,yes,355517169,6.3695771,2.3938534,355518354,6.3671107,2.3945197,283.96,165.0,6.368343899999999,2.3941865499999997,0,0,0,1,"LINESTRING(2.3938534 6.3695771, 2.3945197 6.3671107)"
90,31820853,Rue 12.191,primary,2,50,asphalt,yes,355519473,6.3696007,2.3939512,5953981507,6.3697314,2.3939151,15.07,344.7,6.36966605,2.39393315,0,0,0,33,"LINESTRING(2.3939512 6.3696007, 2.3939151 6.3697314)"
91,31820853,Rue 12.191,primary,2,50,asphalt,yes,5953981507,6.3697314,2.3939151,2491592914,6.3705465,2.3936972,93.78,345.1,6.370138949999999,2.39380615,0,0,1,33,"LINESTRING(2.3939151 6.3697314, 2.3936972 6.3705465)"
92,31820853,Rue 12.191,primary,2,50,asphalt,yes,2491592914,6.3705465,2.3936972,355519926,6.3708019,2.3936342,29.24,346.2,6.3706742,2.3936657,0,0,2,33,"LINESTRING(2.3936972 6.3705465, 2.3936342 6.3708019)"
93,31820853,Rue 12.191,primary,2,50,asphalt,yes,355519926,6.3708019,2.3936342,355519107,6.3711313,2.3935482,37.84,345.5,6.3709666,2.3935912000000004,0,0,3,33,"LINESTRING(2.3936342 6.3708019, 2.3935482 6.3711313)"
94,31820853,Rue 12.191,primary,2,50,asphalt,yes,355519107,6.3711313,2.3935482,5892828003,6.3713389,2.393485,24.12,343.2,6.3712351,2.3935166,0,0,4,33,"LINESTRING(2.3935482 6.3711313, 2.393485 6.3713389)"
95,31820853,Rue 12.191,primary,2,50,asphalt,yes,5892828003,6.3713389,2.393485,355518966,6.3715302,2.3933948,23.49,334.9,6.37143455,2.3934398999999997,0,0,5,33,"LINESTRING(2.393485 6.3713389, 2.3933948 6.3715302)"
96,31820853,Rue 12.191,primary,2,50,asphalt,yes,355518966,6.3715302,2.3933948,5892828004,6.3716347,2.3933294,13.68,328.1,6.37158245,2.3933621,0,0,6,33,"LINESTRING(2.3933948 6.3715302, 2.3933294 6.3716347)"
97,31820853,Rue 12.191,primary,2,50,asphalt,yes,5892828004,6.3716347,2.3933294,355519350,6.3717462,2.3932485,15.29,324.2,6.37169045,2.3932889499999996,0,0,7,33,"LINESTRING(2.3933294 6.3716347, 2.3932485 6.3717462)"
