#{"t_start": 1763960671.4171965, "env_id": "None"}
r,l,t
288.666667,30,804.043755
287.466667,30,806.895353
287.466667,30,809.774483
287.166667,30,812.723219
287.566667,30,815.576896
286.966667,30,818.409401
288.366667,30,821.251832
287.966667,30,824.162653
287.466667,30,827.021262
288.266667,30,829.873806
287.666667,30,832.766725
287.866667,30,835.614899
288.666667,30,838.470333
288.566667,30,841.333061
287.566667,30,844.221671
287.866667,30,847.041442
288.166667,30,849.864339
288.066667,30,852.696078
287.566667,30,855.54702
288.366667,30,858.359129
288.566667,30,861.193162
288.566667,30,864.061679
287.966667,30,866.902383
287.866667,30,869.812285
285.666667,30,872.705027
285.766667,30,875.523058
287.966667,30,878.368904
288.166667,30,881.202033
288.666667,30,884.122641
287.766667,30,886.968616
287.466667,30,889.80301
287.366667,30,892.666805
287.266667,30,895.518587
288.366667,30,898.440584
288.666667,30,901.307598
288.666667,30,904.201794
288.666667,30,907.026598
288.466667,30,909.846082
287.966667,30,912.68897
287.166667,30,915.521641
287.466667,30,918.350656
288.666667,30,921.185076
288.466667,30,924.058352
287.466667,30,926.871512
287.066667,30,929.706542
288.266667,30,932.588636
287.966667,30,935.566709
288.066667,30,938.403118
287.766667,30,941.249377
287.166667,30,944.112925
287.066667,30,946.919814
287.366667,30,949.726573
288.666667,30,952.644928
287.066667,30,955.53134
287.466667,30,958.414666
288.666667,30,962.333536
288.666667,30,965.133262
288.666667,30,967.94259
